genestableid,gene_name,gene_description,disagreement,prob_equal_ortho_adj,similarity
"ENSMUSG00000028312","smc2","structural maintenance of chromosomes 2",.0001028,.9670767,"Same"
"ENSMUSG00000028318","polr1e","polymerase rna i polypeptide e",1.341043,.5060071,"Same"
"ENSMUSG00000028322","exosc3","exosome component 3",.000186,.9592049,"Same"
"ENSMUSG00000028328","tmod1","tropomodulin 1",1.49226,.3072967,"Same"
"ENSMUSG00000028330","ncbp1","nuclear cap binding protein subunit 1",.2498081,.9183339,"Same"
"ENSMUSG00000028333","anp32b","acidic leucine rich nuclear phosphoprotein 32 family member b",.0411371,.9592049,"Same"
"ENSMUSG00000028334","nans","n acetylneuraminic acid synthase sialic acid synthase ",1.4857,1.94e-07,"Different"
"ENSMUSG00000028343","erp44","endoplasmic reticulum protein 44",1.413543,.0002681,"Different"
"ENSMUSG00000028345","tex10","testis expressed gene 10",.1061258,.9547272,"Same"
"ENSMUSG00000028348","cavin4","caveolae associated 4",.1003736,.9506987,"Same"
"ENSMUSG00000028351","brinp1","bone morphogenic protein/retinoic acid inducible neural specific 1",.0004168,.9592049,"Same"
"ENSMUSG00000028354","fmn2","formin 2",.6080995,.8234763,"Same"
"ENSMUSG00000028358","zfp618","zinc finger protein 618",.0856971,.9262763,"Same"
"ENSMUSG00000028360","slc44a5","solute carrier family 44 member 5",1.615121,.1664383,"Same"
"ENSMUSG00000028364","tnc","tenascin c",.7141651,.2063933,"Same"
"ENSMUSG00000028367","txn1","thioredoxin 1",1.324834,3.31e-06,"Different"
"ENSMUSG00000028370","pappa","pregnancy associated plasma protein a",.1636322,.8776925,"Same"
"ENSMUSG00000028382","ptbp3","polypyrimidine tract binding protein 3",.8296881,.4816651,"Same"
"ENSMUSG00000028389","zfp37","zinc finger protein 37",.2502968,.7903109,"Same"
"ENSMUSG00000028393","alad","aminolevulinate delta dehydratase",.9993365,3.90e-07,"Different"
"ENSMUSG00000028394","pole3","polymerase dna directed epsilon 3 p17 subunit ",.0122005,.9592049,"Same"
"ENSMUSG00000028398","dmac1","distal membrane arm assembly complex 1",1.674528,.0003184,"Different"
"ENSMUSG00000028399","ptprd","protein tyrosine phosphatase receptor type d",.8080965,.5104113,"Same"
"ENSMUSG00000028402","mpdz","multiple pdz domain protein",.7138684,.7538925,"Same"
"ENSMUSG00000028405","aco1","aconitase 1",1.273734,.3217022,"Same"
"ENSMUSG00000028409","smu1","smu 1 suppressor of mec 8 and unc 52 homolog c elegans ",.0052324,.9592049,"Same"
"ENSMUSG00000028411","aptx","aprataxin",1.578816,7.19e-06,"Different"
"ENSMUSG00000028412","slc44a1","solute carrier family 44 member 1",1.381977,.3731561,"Same"
"ENSMUSG00000028413","b4galt1","udp gal:betaglcnac beta 1 4 galactosyltransferase polypeptide 1",.7894245,.7483299,"Same"
"ENSMUSG00000028414","fktn","fukutin",1.812093,6.12e-08,"Different"
"ENSMUSG00000028416","bag1","bcl2 associated athanogene 1",1.737395,.0460806,"Different"
"ENSMUSG00000028420","tmem38b","transmembrane protein 38b",1.586699,.0139493,"Different"
"ENSMUSG00000028423","nfx1","nuclear transcription factor x box binding 1",.2507779,.8738035,"Same"
"ENSMUSG00000028426","rad23b","rad23 homolog b nucleotide excision repair protein",.1391187,.8738035,"Same"
"ENSMUSG00000028433","ubap2","ubiquitin associated protein 2",.2933043,.8738035,"Same"
"ENSMUSG00000028434","epb41l4b","erythrocyte membrane protein band 4 1 like 4b",.6704354,.8258777,"Same"
"ENSMUSG00000028436","dcaf12","ddb1 and cul4 associated factor 12",.380977,.8782665,"Same"
"ENSMUSG00000028437","ubap1","ubiquitin associated protein 1",1.824382,.0019463,"Different"
"ENSMUSG00000028438","kif24","kinesin family member 24",.0099208,.9596648,"Same"
"ENSMUSG00000028439","fam219a","family with sequence similarity 219 member a",.0026046,.9592049,"Same"
"ENSMUSG00000028441","1110017d15rik","riken cdna 1110017d15 gene",1.135257,.4897502,"Same"
"ENSMUSG00000028444","cntfr","ciliary neurotrophic factor receptor",1.832178,.0031836,"Different"
"ENSMUSG00000028445","enho","energy homeostasis associated",.0917779,.9310129,"Same"
"ENSMUSG00000028447","dctn3","dynactin 3",.0034579,.9592049,"Same"
"ENSMUSG00000028452","vcp","valosin containing protein",.1310996,.9122854,"Same"
"ENSMUSG00000028453","fancg","fanconi anemia complementation group g",.0211375,.9592049,"Same"
"ENSMUSG00000028455","stoml2","stomatin epb7 2 like 2",.1663961,.9349278,"Same"
"ENSMUSG00000028458","tesk1","testis specific protein kinase 1",1.551109,.3029616,"Same"
"ENSMUSG00000028461","ccdc107","coiled coil domain containing 107",.0220539,.953041,"Same"
"ENSMUSG00000028465","tln1","talin 1",.7397207,.7593279,"Same"
"ENSMUSG00000028466","creb3","camp responsive element binding protein 3",.0155043,.9569998,"Same"
"ENSMUSG00000028467","gba2","glucosidase beta 2",.2041352,.8746549,"Same"
"ENSMUSG00000028469","npr2","natriuretic peptide receptor 2",1.26655,.1801984,"Same"
"ENSMUSG00000028470","hint2","histidine triad nucleotide binding protein 2",.1446366,.8776925,"Same"
"ENSMUSG00000028476","reck","reversion inducing cysteine rich protein with kazal motifs",1.534529,.294452,"Same"
"ENSMUSG00000028478","clta","clathrin light polypeptide lca ",1.3577,.3001024,"Same"
"ENSMUSG00000028479","gne","glucosamine udp n acetyl 2 epimerase/n acetylmannosamine kinase",1.333874,.1292909,"Same"
"ENSMUSG00000028483","snapc3","small nuclear rna activating complex polypeptide 3",1.754792,.1431473,"Same"
"ENSMUSG00000028484","psip1","pc4 and sfrs1 interacting protein 1",.0045067,.9592049,"Same"
"ENSMUSG00000028487","bnc2","basonuclin 2",.3583117,.7992918,"Same"
"ENSMUSG00000028488","sh3gl2","sh3 domain grb2 like 2",.0047504,.9592049,"Same"
"ENSMUSG00000028494","plin2","perilipin 2",.0025984,.9592049,"Same"
"ENSMUSG00000028495","rps6","ribosomal protein s6",.3001698,.8930278,"Same"
"ENSMUSG00000028496","mllt3","myeloid/lymphoid or mixed lineage leukemia translocated to 3",1.046607,.6388479,"Same"
"ENSMUSG00000028497","hacd4","3 hydroxyacyl coa dehydratase 4",1.635722,.009089,"Different"
"ENSMUSG00000028519","dab1","disabled 1",1.430073,.4359729,"Same"
"ENSMUSG00000028521","slc35d1","solute carrier family 35 udp glucuronic acid/udp n acetylgalactosamine dual transporter member d1",1.553895,.0004309,"Different"
"ENSMUSG00000028522","mier1","meir1 treanscription regulator",.2355062,.8390325,"Same"
"ENSMUSG00000028524","sgip1","sh3 domain grb2 like endophilin interacting protein 1",.0492908,.9592049,"Same"
"ENSMUSG00000028525","pde4b","phosphodiesterase 4b camp specific",.4134369,.8772232,"Same"
"ENSMUSG00000028528","dnajc6","dnaj heat shock protein family hsp40 member c6",.0000354,.9598377,"Same"
"ENSMUSG00000028530","jak1","janus kinase 1",.0001191,.8916107,"Same"
"ENSMUSG00000028532","cachd1","cache domain containing 1",.0000161,.9650449,"Same"
"ENSMUSG00000028538","st3gal3","st3 beta galactoside alpha 2 3 sialyltransferase 3",.1936444,.9072263,"Same"
"ENSMUSG00000028541","b4galt2","udp gal:betaglcnac beta 1 4 galactosyltransferase polypeptide 2",1.26407,.2693479,"Same"
"ENSMUSG00000028549","itgb3bp","integrin beta 3 binding protein beta3 endonexin ",.1294712,.9419276,"Same"
"ENSMUSG00000028550","atg4c","autophagy related 4c cysteine peptidase",1.57255,.0365002,"Different"
"ENSMUSG00000028552","eps15","epidermal growth factor receptor pathway substrate 15",.1404294,.8930454,"Same"
"ENSMUSG00000028556","dock7","dedicator of cytokinesis 7",.0025539,.9592049,"Same"
"ENSMUSG00000028557","rnf11","ring finger protein 11",.1265153,.8772232,"Same"
"ENSMUSG00000028559","osbpl9","oxysterol binding protein like 9",1.529722,.0000322,"Different"
"ENSMUSG00000028560","usp1","ubiquitin specific peptidase 1",.0107186,.9592049,"Same"
"ENSMUSG00000028565","nfia","nuclear factor i/a",.0090086,.8776925,"Same"
"ENSMUSG00000028567","txndc12","thioredoxin domain containing 12 endoplasmic reticulum ",1.766478,.0509691,"Same"
"ENSMUSG00000028568","btf3l4","basic transcription factor 3 like 4",.9701014,.6708179,"Same"
"ENSMUSG00000028572","hook1","hook microtubule tethering protein 1",1.444063,.1047032,"Same"
"ENSMUSG00000028573","fggy","fggy carbohydrate kinase domain containing",1.508144,.0254409,"Different"
"ENSMUSG00000028576","ift74","intraflagellar transport 74",.1765695,.8738035,"Same"
"ENSMUSG00000028577","plaa","phospholipase a2 activating protein",.4231452,.8776925,"Same"
"ENSMUSG00000028578","caap1","caspase activity and apoptosis inhibitor 1",.0063949,.9592049,"Same"
"ENSMUSG00000028580","pum1","pumilio rna binding family member 1",.0466322,.9394665,"Same"
"ENSMUSG00000028581","laptm5","lysosomal associated protein transmembrane 5",.1513847,.906009,"Same"
"ENSMUSG00000028587","orc1","origin recognition complex subunit 1",.0018849,.9650449,"Same"
"ENSMUSG00000028597","gpx7","glutathione peroxidase 7",.1144279,.9045464,"Same"
"ENSMUSG00000028600","podn","podocan",1.4971,.1174362,"Same"
"ENSMUSG00000028607","cpt2","carnitine palmitoyltransferase 2",.1770569,.9375608,"Same"
"ENSMUSG00000028609","magoh","mago homolog exon junction complex core component",1.858822,.0998418,"Same"
"ENSMUSG00000028613","lrp8","low density lipoprotein receptor related protein 8 apolipoprotein e receptor",.1598718,.9053223,"Same"
"ENSMUSG00000028614","ndc1","ndc1 transmembrane nucleoporin",.1103328,.9552955,"Same"
"ENSMUSG00000028617","lrrc42","leucine rich repeat containing 42",.024594,.9592049,"Same"
"ENSMUSG00000028618","tmem59","transmembrane protein 59",1.567488,.3562067,"Same"
"ENSMUSG00000028619","tceanc2","transcription elongation factor a sii n terminal and central domain containing 2",1.414203,.0003845,"Different"
"ENSMUSG00000028629","exo5","exonuclease 5",.2617194,.8353012,"Same"
"ENSMUSG00000028630","dyrk2","dual specificity tyrosine y phosphorylation regulated kinase 2",1.573291,.0632284,"Same"
"ENSMUSG00000028631","kcnq4","potassium voltage gated channel subfamily q member 4",1.811728,.0079063,"Different"
"ENSMUSG00000028633","ctps","cytidine 5' triphosphate synthase",.0652979,.944056,"Same"
"ENSMUSG00000028634","hivep3","human immunodeficiency virus type i enhancer binding protein 3",.1904532,.8841577,"Same"
"ENSMUSG00000028636","ppcs","phosphopantothenoylcysteine synthetase",1.78472,.0004999,"Different"
"ENSMUSG00000028639","ybx1","y box protein 1",.1160513,.9405856,"Same"
"ENSMUSG00000028640","tfap2c","transcription factor ap 2 gamma",.0274141,.8984376,"Same"
"ENSMUSG00000028641","p3h1","prolyl 3 hydroxylase 1",.066791,.9464073,"Same"
"ENSMUSG00000028643","svbp","small vasohibin binding protein",1.668719,.2632419,"Same"
"ENSMUSG00000028645","slc2a1","solute carrier family 2 facilitated glucose transporter member 1",.0018447,.9623331,"Same"
"ENSMUSG00000028648","ndufs5","nadh:ubiquinone oxidoreductase core subunit s5",.2920237,.9026482,"Same"
"ENSMUSG00000028649","macf1","microtubule actin crosslinking factor 1",1.399886,.1112388,"Same"
"ENSMUSG00000028653","trit1","trna isopentenyltransferase 1",1.699771,.2359276,"Same"
"ENSMUSG00000028654","mycl","v myc avian myelocytomatosis viral oncogene lung carcinoma derived",.0311686,.9375608,"Same"
"ENSMUSG00000028656","cap1","cap adenylate cyclase associated protein 1 yeast ",.0018488,.9600178,"Same"
"ENSMUSG00000028657","ppt1","palmitoyl protein thioesterase 1",.4779619,.8772232,"Same"
"ENSMUSG00000028664","ephb2","eph receptor b2",.0202776,.8776925,"Same"
"ENSMUSG00000028668","eloa","elongin a",1.535439,.3773911,"Same"
"ENSMUSG00000028669","pithd1","pith c terminal proteasome interacting domain of thioredoxin like domain containing 1",.1791053,.8783828,"Same"
"ENSMUSG00000028675","pnrc2","proline rich nuclear receptor coactivator 2",1.208277,.568517,"Same"
"ENSMUSG00000028676","srsf10","serine/arginine rich splicing factor 10",.0495518,.9592049,"Same"
"ENSMUSG00000028677","rnf220","ring finger protein 220",.5796514,.8248544,"Same"
"ENSMUSG00000028678","kif2c","kinesin family member 2c",.0001612,.9650449,"Same"
"ENSMUSG00000028680","plk3","polo like kinase 3",1.512429,.00011,"Different"
"ENSMUSG00000028681","ptch2","patched 2",1.527452,.0000668,"Different"
"ENSMUSG00000028684","urod","uroporphyrinogen decarboxylase",1.659149,.0196741,"Different"
"ENSMUSG00000028687","mutyh","muty dna glycosylase",.028118,.9592049,"Same"
"ENSMUSG00000028688","toe1","target of egr1 member 1 nuclear ",1.212039,.5723401,"Same"
"ENSMUSG00000028690","mmachc","methylmalonic aciduria cblc type with homocystinuria",.2213524,.9101785,"Same"
"ENSMUSG00000028693","nasp","nuclear autoantigenic sperm protein histone binding ",.000979,.9596648,"Same"
"ENSMUSG00000028696","ipp","iap promoted placental gene",1.063823,.0329584,"Different"
"ENSMUSG00000028698","pik3r3","phosphoinositide 3 kinase regulatory subunit 3",.0882142,.9357217,"Same"
"ENSMUSG00000028700","pomgnt1","protein o linked mannose beta 1 2 n acetylglucosaminyltransferase",.0002975,.9592049,"Same"
"ENSMUSG00000028701","lurap1","leucine rich adaptor protein 1",.073054,.9592049,"Same"
"ENSMUSG00000028702","rad54l","rad54 like s cerevisiae ",.0068796,.9605781,"Same"
"ENSMUSG00000028703","lrrc41","leucine rich repeat containing 41",.2074232,.7794205,"Same"
"ENSMUSG00000028706","nsun4","nol1/nop2/sun domain family member 4",.014573,.9592049,"Same"
"ENSMUSG00000028707","dmbx1","diencephalon/mesencephalon homeobox 1",.8468977,.7166205,"Same"
"ENSMUSG00000028708","mknk1","map kinase interacting serine/threonine kinase 1",.077399,.9573275,"Same"
"ENSMUSG00000028710","atpaf1","atp synthase mitochondrial f1 complex assembly factor 1",.011173,.8776925,"Same"
"ENSMUSG00000028718","stil","scl/tal1 interrupting locus",.0000262,.9660448,"Same"
"ENSMUSG00000028729","ebna1bp2","ebna1 binding protein 2",1.71452,2.52e-08,"Different"
"ENSMUSG00000028736","pax7","paired box 7",.2770728,.8852965,"Same"
"ENSMUSG00000028741","mrto4","mrna turnover 4 ribosome maturation factor",1.383137,.0000863,"Different"
"ENSMUSG00000028743","akr7a5","aldo keto reductase family 7 member a5 aflatoxin aldehyde reductase ",.0011188,.9605781,"Same"
"ENSMUSG00000028745","capzb","capping protein actin filament muscle z line beta",.0069328,.9592049,"Same"
"ENSMUSG00000028747","htr6","5 hydroxytryptamine serotonin receptor 6",1.408572,.4594057,"Same"
"ENSMUSG00000028756","pink1","pten induced putative kinase 1",.0088012,.9213625,"Same"
"ENSMUSG00000028757","ddost","dolichyl di phosphooligosaccharide protein glycotransferase",.000643,.8776925,"Same"
"ENSMUSG00000028758","kif17","kinesin family member 17",.2277856,.8930278,"Same"
"ENSMUSG00000028759","hp1bp3","heterochromatin protein 1 binding protein 3",1.390768,.031327,"Different"
"ENSMUSG00000028763","hspg2","perlecan heparan sulfate proteoglycan 2 ",.00133,.9647024,"Same"
"ENSMUSG00000028766","alpl","alkaline phosphatase liver/bone/kidney",1.683355,.2332584,"Same"
"ENSMUSG00000028771","ptpn12","protein tyrosine phosphatase non receptor type 12",.1159961,.9277219,"Same"
"ENSMUSG00000028772","zcchc17","zinc finger cchc domain containing 17",.0310781,.9592049,"Same"
"ENSMUSG00000028776","tinagl1","tubulointerstitial nephritis antigen like 1",1.191031,.4267251,"Same"
"ENSMUSG00000028778","hcrtr1","hypocretin orexin receptor 1",.4883739,.8291227,"Same"
"ENSMUSG00000028779","pef1","penta ef hand domain containing 1",.6777324,.8076623,"Same"
"ENSMUSG00000028780","sema3c","sema domain immunoglobulin domain ig short basic domain secreted semaphorin 3c",1.274306,.5025915,"Same"
"ENSMUSG00000028782","adgrb2","adhesion g protein coupled receptor b2",.0004575,.9592049,"Same"
"ENSMUSG00000028785","hpca","hippocalcin",.0195878,.9277219,"Same"
"ENSMUSG00000028789","azin2","antizyme inhibitor 2",.0070686,.9592049,"Same"
"ENSMUSG00000028790","khdrbs1","kh domain containing rna binding signal transduction associated 1",.5856054,.8013614,"Same"
"ENSMUSG00000028792","ak2","adenylate kinase 2",.0025995,.9605781,"Same"
"ENSMUSG00000028793","rnf19b","ring finger protein 19b",.0202993,.9592049,"Same"
"ENSMUSG00000028795","ccdc28b","coiled coil domain containing 28b",.1117926,.9401528,"Same"
"ENSMUSG00000028796","phc2","polyhomeotic 2",.3415929,.8801148,"Same"
"ENSMUSG00000028799","zfp362","zinc finger protein 362",.24783,.8772232,"Same"
"ENSMUSG00000028803","nipal3","nipa like domain containing 3",.7266772,.7825807,"Same"
"ENSMUSG00000028804","csmd2","cub and sushi multiple domains 2",.1774291,.8989379,"Same"
"ENSMUSG00000028807","zbtb8a","zinc finger and btb domain containing 8a",.9990411,.507218,"Same"
"ENSMUSG00000028809","srrm1","serine/arginine repetitive matrix 1",.000273,.9592049,"Same"
"ENSMUSG00000028813","ck137956","cdna sequence ck137956",.1377692,.8817207,"Same"
"ENSMUSG00000028820","sfpq","splicing factor proline/glutamine rich polypyrimidine tract binding protein associated ",.5505279,.810046,"Same"
"ENSMUSG00000028822","tmem50a","transmembrane protein 50a",.2894045,.8237354,"Same"
"ENSMUSG00000028826","maco1","macoilin 1",.1255474,.9106043,"Same"
"ENSMUSG00000028830","au040320","expressed sequence au040320",1.517716,.2715073,"Same"
"ENSMUSG00000028832","stmn1","stathmin 1",1.151489,.595206,"Same"
"ENSMUSG00000028833","ncdn","neurochondrin",.0299741,.8776925,"Same"
"ENSMUSG00000028837","psmb2","proteasome prosome macropain subunit beta type 2",1.635681,.0227811,"Different"
"ENSMUSG00000028838","extl1","exostoses multiple like 1",.0005344,.9592049,"Same"
"ENSMUSG00000028840","zfp593","zinc finger protein 593",1.334814,.0012199,"Different"
"ENSMUSG00000028842","ago3","argonaute risc catalytic subunit 3",1.510329,2.34e-07,"Different"
"ENSMUSG00000028843","sh3bgrl3","sh3 domain binding glutamic acid rich protein like 3",.0014134,.8916107,"Same"
"ENSMUSG00000028845","tekt2","tektin 2",1.417626,.0719766,"Same"
"ENSMUSG00000028847","trappc3","trafficking protein particle complex 3",.9953958,.4281717,"Same"
"ENSMUSG00000028851","nudc","nudc nuclear distribution protein",1.831074,.0113668,"Different"
"ENSMUSG00000028854","slc9a1","solute carrier family 9 sodium/hydrogen exchanger member 1",.598591,.7950454,"Same"
"ENSMUSG00000028857","tmem222","transmembrane protein 222",.0032491,.8776925,"Same"
"ENSMUSG00000028859","csf3r","colony stimulating factor 3 receptor granulocyte ",.0094217,.9401528,"Same"
"ENSMUSG00000028861","mrps15","mitochondrial ribosomal protein s15",1.138998,.0056244,"Different"
"ENSMUSG00000028868","wasf2","was protein family member 2",.0725253,.9592049,"Same"
"ENSMUSG00000028869","gnl2","guanine nucleotide binding protein like 2 nucleolar ",1.247753,.0003351,"Different"
"ENSMUSG00000028871","rspo1","r spondin 1",.0400812,.9592049,"Same"
"ENSMUSG00000028873","cdca8","cell division cycle associated 8",7.68e-06,.9682711,"Same"
"ENSMUSG00000028876","epha10","eph receptor a10",1.481623,.4053209,"Same"
"ENSMUSG00000028879","stx12","syntaxin 12",.0718959,.8776925,"Same"
"ENSMUSG00000028882","ppp1r8","protein phosphatase 1 regulatory subunit 8",.059202,.9592049,"Same"
"ENSMUSG00000028883","sema3a","sema domain immunoglobulin domain ig short basic domain secreted semaphorin 3a",1.384596,.0439413,"Different"
"ENSMUSG00000028884","rpa2","replication protein a2",1.395136,.4811213,"Same"
"ENSMUSG00000028886","eya3","eya transcriptional coactivator and phosphatase 3",.1624667,.9389992,"Same"
"ENSMUSG00000028893","sesn2","sestrin 2",1.476384,.0144039,"Different"
"ENSMUSG00000028894","inpp5b","inositol polyphosphate 5 phosphatase b",1.103985,.0044464,"Different"
"ENSMUSG00000028896","rcc1","regulator of chromosome condensation 1",.0054263,.9598377,"Same"
"ENSMUSG00000028898","trnau1ap","trna selenocysteine 1 associated protein 1",1.252701,.4549011,"Same"
"ENSMUSG00000028899","taf12","tata box binding protein associated factor 12",.4458664,.6951416,"Same"
"ENSMUSG00000028901","gmeb1","glucocorticoid modulatory element binding protein 1",.4146164,.8776925,"Same"
"ENSMUSG00000028902","sf3a3","splicing factor 3a subunit 3",.0003197,.9606673,"Same"
"ENSMUSG00000028906","epb41","erythrocyte membrane protein band 4 1",.0078063,.959024,"Same"
"ENSMUSG00000028907","utp11","utp11 small subunit processome component",.6151975,.7620223,"Same"
"ENSMUSG00000028910","mecr","mitochondrial trans 2 enoyl coa reductase",1.18216,.57615,"Same"
"ENSMUSG00000028911","srsf4","serine/arginine rich splicing factor 4",.0015601,.9592049,"Same"
"ENSMUSG00000028914","casp9","caspase 9",1.305135,.0000163,"Different"
"ENSMUSG00000028917","plekhm2","pleckstrin homology domain containing family m with run domain member 2",.6173491,.8421198,"Same"
"ENSMUSG00000028919","arhgef19","rho guanine nucleotide exchange factor gef 19",1.717513,2.52e-07,"Different"
"ENSMUSG00000028920","fbxo42","f box protein 42",1.000441,.4296469,"Same"
"ENSMUSG00000028926","cdk14","cyclin dependent kinase 14",1.029499,.3369472,"Same"
"ENSMUSG00000028927","padi2","peptidyl arginine deiminase type ii",.0054109,.9596648,"Same"
"ENSMUSG00000028931","kcnab2","potassium voltage gated channel shaker related subfamily beta member 2",.0006088,.9592049,"Same"
"ENSMUSG00000028932","psmc2","proteasome prosome macropain 26s subunit atpase 2",1.390581,.0998418,"Same"
"ENSMUSG00000028933","xrcc2","x ray repair complementing defective repair in chinese hamster cells 2",.0380036,.9592049,"Same"
"ENSMUSG00000028936","rpl22","ribosomal protein l22",1.345442,.3070685,"Same"
"ENSMUSG00000028937","acot7","acyl coa thioesterase 7",.3125667,.8861263,"Same"
"ENSMUSG00000028944","prkag2","protein kinase amp activated gamma 2 non catalytic subunit",.011241,.9592049,"Same"
"ENSMUSG00000028945","rheb","ras homolog enriched in brain",.0008711,.9605781,"Same"
"ENSMUSG00000028948","nol9","nucleolar protein 9",1.679528,.2265511,"Same"
"ENSMUSG00000028949","smarcd3","swi/snf related matrix associated actin dependent regulator of chromatin subfamily d member 3",.0543822,.9552955,"Same"
"ENSMUSG00000028952","zbtb48","zinc finger and btb domain containing 48",1.689602,.023039,"Different"
"ENSMUSG00000028953","abcf2","atp binding cassette sub family f gcn20 member 2",1.685688,.1515788,"Same"
"ENSMUSG00000028954","nub1","negative regulator of ubiquitin like proteins 1",1.411411,5.98e-06,"Different"
"ENSMUSG00000028955","vamp3","vesicle associated membrane protein 3",1.554052,.0113381,"Different"
"ENSMUSG00000028957","per3","period circadian clock 3",.4257518,.8777241,"Same"
"ENSMUSG00000028960","ube4b","ubiquitination factor e4b",.0425819,.9019403,"Same"
"ENSMUSG00000028961","pgd","phosphogluconate dehydrogenase",.3244976,.8860201,"Same"
"ENSMUSG00000028962","slc4a2","solute carrier family 4 anion exchanger member 2",.6107619,.5634574,"Same"
"ENSMUSG00000028964","park7","parkinson disease autosomal recessive early onset 7",1.805162,.0004077,"Different"
"ENSMUSG00000028967","errfi1","erbb receptor feedback inhibitor 1",1.64829,.0439413,"Different"
"ENSMUSG00000028969","cdk5","cyclin dependent kinase 5",.0403749,.9592049,"Same"
"ENSMUSG00000028971","cort","cortistatin",1.215566,.3005275,"Same"
"ENSMUSG00000028974","dffa","dna fragmentation factor alpha subunit",1.534784,.0000957,"Different"
"ENSMUSG00000028975","pex14","peroxisomal biogenesis factor 14",.0695551,.9592049,"Same"
"ENSMUSG00000028976","slc2a5","solute carrier family 2 facilitated glucose transporter member 5",.0002552,.9646559,"Same"
"ENSMUSG00000028982","slc25a33","solute carrier family 25 member 33",1.404214,.4568143,"Same"
"ENSMUSG00000028986","klhl7","kelch like 7",1.100987,.5929977,"Same"
"ENSMUSG00000028990","lzic","leucine zipper and ctnnbip1 domain containing",.4827402,.834662,"Same"
"ENSMUSG00000028991","mtor","mechanistic target of rapamycin kinase",1.718934,.0000187,"Different"
"ENSMUSG00000028992","nmnat1","nicotinamide nucleotide adenylyltransferase 1",1.280084,.2694355,"Same"
"ENSMUSG00000028995","fam126a","family with sequence similarity 126 member a",.0041684,.9592049,"Same"
"ENSMUSG00000028998","tomm7","translocase of outer mitochondrial membrane 7",1.551131,.0000107,"Different"
"ENSMUSG00000028999","rint1","rad50 interactor 1",1.490249,.0235015,"Different"
"ENSMUSG00000029001","fbxo44","f box protein 44",.0045066,.9592049,"Same"
"ENSMUSG00000029003","mad2l2","mad2 mitotic arrest deficient like 2",.4687063,.573282,"Same"
"ENSMUSG00000029004","kmt2e","lysine k specific methyltransferase 2e",1.019728,.5575374,"Same"
"ENSMUSG00000029005","draxin","dorsal inhibitory axon guidance protein",.0157498,.944056,"Same"
"ENSMUSG00000029007","agtrap","angiotensin ii type i receptor associated protein",.2582423,.9101785,"Same"
"ENSMUSG00000029012","orc5","origin recognition complex subunit 5",1.253373,.5485099,"Same"
"ENSMUSG00000029014","dnajc2","dnaj heat shock protein family hsp40 member c2",1.029783,.6451914,"Same"
"ENSMUSG00000029017","pmpcb","peptidase mitochondrial processing beta",1.346727,.1460299,"Same"
"ENSMUSG00000029020","mfn2","mitofusin 2",1.083413,.6379257,"Same"
"ENSMUSG00000029022","miip","migration and invasion inhibitory protein",1.59164,.1122956,"Same"
"ENSMUSG00000029026","trp73","transformation related protein 73",.9563893,.3421775,"Same"
"ENSMUSG00000029029","wrap73","wd repeat containing antisense to trp73",.6387372,.8116319,"Same"
"ENSMUSG00000029030","tprgl","transformation related protein 63 regulated like",.2246825,.8832573,"Same"
"ENSMUSG00000029033","acap3","arfgap with coiled coil ankyrin repeat and ph domains 3",.104952,.8776925,"Same"
"ENSMUSG00000029038","ssu72","ssu72 rna polymerase ii ctd phosphatase homolog yeast ",.745151,.7794205,"Same"
"ENSMUSG00000029049","morn1","morn repeat containing 1",1.747944,4.93e-07,"Different"
"ENSMUSG00000029053","prkcz","protein kinase c zeta",.1567972,.9357217,"Same"
"ENSMUSG00000029054","gabrd","gamma aminobutyric acid gaba a receptor subunit delta",.1065156,.9482822,"Same"
"ENSMUSG00000029055","plch2","phospholipase c eta 2",.811503,.683424,"Same"
"ENSMUSG00000029056","pank4","pantothenate kinase 4",.8627416,.1234664,"Same"
"ENSMUSG00000029063","nadk","nad kinase",.6044381,.8337339,"Same"
"ENSMUSG00000029064","gnb1","guanine nucleotide binding protein g protein beta 1",1.243154,.5112907,"Same"
"ENSMUSG00000029066","mrpl20","mitochondrial ribosomal protein l20",1.361592,.3232101,"Same"
"ENSMUSG00000029068","ccnl2","cyclin l2",.1195002,.9375608,"Same"
"ENSMUSG00000029070","mxra8","matrix remodelling associated 8",.0493115,.9217902,"Same"
"ENSMUSG00000029071","dvl1","dishevelled segment polarity protein 1",1.182267,.2332584,"Same"
"ENSMUSG00000029073","cptp","ceramide 1 phosphate transfer protein",1.500012,.3659449,"Same"
"ENSMUSG00000029084","cd38","cd38 antigen",1.426879,.065442,"Same"
"ENSMUSG00000029086","prom1","prominin 1",.5096843,.7109697,"Same"
"ENSMUSG00000029088","kcnip4","kv channel interacting protein 4",.4490409,.8738035,"Same"
"ENSMUSG00000029089","5730480h06rik","riken cdna 5730480h06 gene",.0094892,.8930454,"Same"
"ENSMUSG00000029090","adgra3","adhesion g protein coupled receptor a3",.0000168,.9649488,"Same"
"ENSMUSG00000029094","afap1","actin filament associated protein 1",.0000944,.9593371,"Same"
"ENSMUSG00000029095","ablim2","actin binding lim protein 2",.3671432,.8757924,"Same"
"ENSMUSG00000029096","htra3","htra serine peptidase 3",1.789731,.0000203,"Different"
"ENSMUSG00000029097","trmt44","trna methyltransferase 44",1.676591,.2764419,"Same"
"ENSMUSG00000029098","acox3","acyl coenzyme a oxidase 3 pristanoyl",1.277793,.1112254,"Same"
